URLLength,DomainLength,IsDomainIP,TLDLength,TLDLegitimateProb,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,CharContinuationRate,URLCharProb,IsHTTPS,HasValidSSL,HasHyphen,HasSuspiciousTLD,IsShortened,HasAtSymbol,HasDoubleSlash,label
52,17,0,2,0.15,31,0.5962,12,0.2308,0,0,0,0,0.0,2,0,0,0.0,0.7045,0.5849,1,1,0,0,0,0,0,0
52,17,0,2,0.15,31,0.5962,12,0.2308,0,0,0,0,0.0,2,0,0,0.0,0.7045,0.5849,1,1,0,0,0,0,0,0
123,17,0,2,0.15,64,0.5203,45,0.3659,1,1,0,5,0.0407,2,0,0,0.0,0.5818,0.5161,1,1,0,0,0,0,0,0
46,13,0,2,0.15,28,0.6087,10,0.2174,0,0,0,0,0.0,1,0,0,0.0,0.7179,0.5957,1,0,0,0,0,0,0,0
72,14,0,4,0.15,22,0.3056,38,0.5278,0,0,0,4,0.0556,0,0,0,0.0,0.3607,0.3014,1,0,0,0,0,0,0,0
52,17,0,2,0.15,31,0.5962,12,0.2308,0,0,0,0,0.0,2,0,0,0.0,0.7045,0.5849,1,1,0,0,0,0,0,0
57,13,0,2,0.15,38,0.6667,10,0.1754,0,0,0,1,0.0175,1,0,0,0.0,0.7755,0.6552,1,0,0,0,0,0,0,0
94,22,0,3,0.52,52,0.5532,29,0.3085,0,0,0,4,0.0426,1,0,0,0.0,0.6341,0.5474,0,1,0,0,0,0,0,0
45,22,0,2,0.4,37,0.8222,0,0.0,0,0,0,1,0.0222,1,0,0,0.0,0.9737,0.8043,1,1,0,0,0,0,0,0
39,22,0,2,0.4,26,0.6667,6,0.1538,0,0,0,0,0.0,1,0,0,0.0,0.7879,0.65,1,1,0,0,0,0,0,0
95,23,0,3,0.52,54,0.5684,29,0.3053,0,0,0,4,0.0421,0,0,0,0.0,0.6429,0.5625,0,0,0,0,0,0,0,0
18,10,0,3,0.52,14,0.7778,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9333,0.7368,1,1,0,0,0,0,0,1
20,12,0,3,0.52,16,0.8,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9412,0.7619,1,1,0,0,0,0,0,1
19,11,0,3,0.52,15,0.7895,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9375,0.75,1,1,0,0,0,0,0,1
21,13,0,3,0.52,17,0.8095,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9444,0.7727,1,1,0,0,0,0,0,1
19,11,0,3,0.52,15,0.7895,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9375,0.75,1,1,0,0,0,0,0,1
20,12,0,3,0.52,16,0.8,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9412,0.7619,1,1,0,0,0,0,0,1
21,13,0,3,0.52,17,0.8095,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9444,0.7727,1,1,0,0,1,0,0,1
28,20,0,3,0.52,24,0.8571,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.96,0.8276,1,1,0,0,0,0,0,1
17,9,0,3,0.52,13,0.7647,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9286,0.7222,1,1,0,0,0,0,0,1
18,10,0,3,0.52,14,0.7778,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9333,0.7368,1,1,0,0,0,0,0,1
21,13,0,3,0.38,17,0.8095,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9444,0.7727,1,1,0,0,0,0,0,1
21,13,0,3,0.38,17,0.8095,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9444,0.7727,1,1,0,0,0,0,0,1
16,8,0,2,0.15,12,0.75,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9231,0.7059,1,1,0,0,0,0,0,1
23,15,0,3,0.52,18,0.7826,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9474,0.75,1,1,0,0,0,0,0,1
24,16,0,3,0.38,19,0.7917,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.95,0.76,1,1,0,0,0,0,0,1
14,6,0,2,0.15,10,0.7143,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9091,0.6667,1,1,0,0,1,0,0,1
23,15,0,3,0.52,18,0.7826,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9474,0.75,1,1,0,0,0,0,0,1
21,13,0,3,0.52,17,0.8095,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9444,0.7727,1,1,0,0,1,0,0,1
13,5,0,3,0.52,9,0.6923,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9,0.6429,1,1,0,0,0,0,0,1
17,9,0,3,0.52,13,0.7647,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9286,0.7222,1,1,0,0,0,0,0,1
23,15,0,3,0.52,18,0.7826,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9474,0.75,1,1,0,0,0,0,0,1
22,14,0,3,0.52,17,0.7727,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9444,0.7391,1,1,0,0,0,0,0,1
13,5,0,2,0.15,9,0.6923,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9,0.6429,1,1,0,0,0,0,0,1
20,12,0,3,0.52,16,0.8,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9412,0.7619,1,1,0,0,0,0,0,1
18,10,0,3,0.52,14,0.7778,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9333,0.7368,1,0,0,0,0,0,0,1
17,9,0,3,0.38,13,0.7647,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9286,0.7222,1,1,0,0,0,0,0,1
27,19,0,3,0.52,22,0.8148,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.9565,0.7857,1,1,0,0,0,0,0,1
17,9,0,3,0.52,13,0.7647,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9286,0.7222,1,1,0,0,0,0,0,1
18,10,0,3,0.52,14,0.7778,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9333,0.7368,1,1,0,0,0,0,0,1
17,9,0,3,0.52,13,0.7647,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9286,0.7222,1,1,0,0,0,0,0,1
14,6,0,2,0.15,10,0.7143,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9091,0.6667,1,0,0,0,1,0,0,1
24,16,0,3,0.52,19,0.7917,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.95,0.76,1,1,0,0,0,0,0,1
24,16,0,3,0.52,19,0.7917,0,0.0,0,0,0,0,0.0,1,0,0,0.0,0.95,0.76,1,1,0,0,0,0,0,1
19,11,0,3,0.38,15,0.7895,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.9375,0.75,1,1,0,0,0,0,0,1
